Country,Language#1,Language#2,Language#3,Language#4
Afghanistan,Pashto,Dari,,
Albania,Albanian,,,
Algeria,Arabic,French,Berber,
American Samoa,English,Samoan,,
Andorra,Catalan,French,Spanish,
Angola,Portuguese,Kimbundu,Kikongo,Umbundu
Anguilla,English,,,
Antigua and Barbuda,English,,,
Argentina,Spanish,,,
Armenia,Armenian,,,
Aruba,Dutch,Papiamento,,
Australia,English,,,
Austria,German,,,
Azerbaijan,Azerbaijani,Russian,,
Bahamas,English,,,
Bahrain,Arabic,,,
Bangladesh,Bengali,,,
Barbados,English,,,
Belarus,Belarusian,Russian,,
Belgium,Dutch,French,German,
Belize,English,Spanish,Maya,Kriol
Benin,French,,,
Bermuda,English,,,
Bhutan,Dzongkha,,,
Bolivia,Spanish,Quechua,Aymara,Guaraní
Bosnia and Herzegovina,Bosnian,Croatian,Serbian,
Botswana,English,Setswana,,
Brazil,Portuguese,,,
British Virgin Islands,English,,,
Brunei,Malay,,,
Bulgaria,Bulgarian,,,
Burkina Faso,French,Mòoré,Fulfulde,Dioula
Burundi,Kirundi,French,,
Cambodia,Khmer,,,
Cameroon,English,French,,
Canada,English,French,,
Cape Verde,Portuguese,Cape Verdean Creole,,
Cayman Islands,English,,,
Central African Republic,French,Sango,,
Chad,French,Arabic,,
Chile,Spanish,,,
China,Mandarin,Cantonese,,
Colombia,Spanish,,,
Comoros,Comorian,Arabic,French,
Cook Islands,English,Cook Islands Māori,,
Costa Rica,Spanish,,,
Croatia,Croatian,,,
Cuba,Spanish,,,
Cyprus,Greek,Turkish,,
Czech Republic,Czech,,,
Democratic Republic of the Congo,French,Lingala,Kikongo,Swahili
Denmark,Danish,,,
Djibouti,French,Arabic,Afar,Somali
Dominica,English,French Patois,,
Dominican Republic,Spanish,,,
Ecuador,Spanish,Quechua,,
Egypt,Arabic,,,
El Salvador,Spanish,,,
Equatorial Guinea,Spanish,French,Portuguese,
Eritrea,Tigrinya,Arabic,English,Tigre
Estonia,Estonian,Russian,,
Eswatini,English,Swati,,
Ethiopia,Amharic,Oromo,Tigrinya,Somali
Falkland Islands,English,,,
Faroe Islands,Faroese,Danish,,
Federated States of Micronesia,English,,,
Fiji,Fijian,English,Fiji Hindi,
Finland,Finnish,Swedish,,
France,French,,,
French Guiana,French,,,
French Polynesia,French,Tahitian,,
Gabon,French,,,
Gambia,English,Mandinka,Wolof,Fula
Georgia,Georgian,Russian,,
Germany,German,,,
Ghana,English,Akan,Twi,Ewe
Gibraltar,English,,,
Greece,Greek,,,
Greenland,Greenlandic,Danish,,
Grenada,English,,,
Guadeloupe,French,,,
Guam,English,Chamorro,,
Guatemala,Spanish,,,
Guinea,French,,,
Guinea-Bissau,Portuguese,Upper Guinea Creole,,
Guyana,English,,,
Haiti,French,Haitian Creole,,
Honduras,Spanish,,,
Hong Kong,Cantonese,English,Mandarin,
Hungary,Hungarian,,,
Iceland,Icelandic,,,
India,Hindi,English,Bengali,Telugu
Indonesia,Indonesian,,,
Iran,Persian,,,
Iraq,Arabic,Kurdish,,
Ireland,English,Irish,,
Israel,Hebrew,Arabic,,
Italy,Italian,,,
Ivory Coast,French,,,
Jamaica,English,Jamaican Patois,,
Japan,Japanese,,,
Jordan,Arabic,,,
Kazakhstan,Kazakh,Russian,,
Kenya,English,Swahili,,
Kiribati,English,Gilbertese,,
Kuwait,Arabic,,,
Kyrgyzstan,Kyrgyz,Russian,,
Laos,Lao,,,
Latvia,Latvian,Russian,,
Lebanon,Arabic,French,,
Lesotho,English,Sesotho,,
Liberia,English,,,
Libya,Arabic,,,
Liechtenstein,German,,,
Lithuania,Lithuanian,Russian,,
Luxembourg,Luxembourgish,French,German,
Macau,Cantonese,Portuguese,,
Madagascar,Malagasy,French,,
Malawi,English,Chichewa,,
Malaysia,Malay,English,Mandarin,Tamil
Maldives,Dhivehi,,,
Mali,French,Bambara,,
Malta,Maltese,English,,
Marshall Islands,Marshallese,English,,
Martinique,French,,,
Mauritania,Arabic,French,,
Mauritius,English,French,Mauritian Creole,
Mayotte,French,Shimaore,Shibushi,
Mexico,Spanish,Nahuatl,Maya,Zapotec
Moldova,Romanian,Russian,Gagauz,Ukrainian
Monaco,French,,,
Mongolia,Mongolian,,,
Montenegro,Montenegrin,Serbian,Bosnian,Albanian
Montserrat,English,,,
Morocco,Arabic,Berber,French,
Mozambique,Portuguese,,,
Myanmar,Burmese,,,
Namibia,English,Afrikaans,German,Oshiwambo
Nauru,Nauruan,English,,
Nepal,Nepali,,,
Netherlands,Dutch,Frisian,,
New Caledonia,French,,,
New Zealand,English,Māori,,
Nicaragua,Spanish,Miskito,,
Niger,French,Hausa,Zarma,Songhai
Nigeria,English,Hausa,Yoruba,Igbo
Niue,Niuean,English,,
North Korea,Korean,,,
North Macedonia,Macedonian,Albanian,,
Northern Mariana Islands,English,Chamorro,Carolynian,
Norway,Norwegian,Sami,,
Oman,Arabic,,,
Pakistan,Urdu,English,Punjabi,Sindhi
Palau,Palauan,English,,
Palestine,Arabic,Hebrew,,
Panama,Spanish,,,
