Country,Language#1,Language#2,Language#3,Language#4
Argentina,Spanish,,,
Australia,English,,,
Austria,German,,,
Belgium,French,Flemish,,
Bulgaria,Bulgarian,,,
Brazil,Portuguese,English,,
Canada,English,French,,
China,Chinese,English,,
Croatia,Croatian,,,
Cyprus,Greek,,,
Czech Republic,Czech,,,
Denmark,Danish,,,
Estonia,Estonian,,,
Finland,Finnish,,,
France,French,,,
Germany,German,English,,
Greece,Greek,,,
Hungary,Hungarian,,,
India,English,Hindi,,
Indonesia,Indonesia,English,,
Ireland,Irish,,,
Italy,Italian,,,
Japan,Japanese,English,,
Korea,Korean,English,,
Latvia,Latvian,,,
Lithuania,Lithuanian,,,
Luxembourg,French,Luxembourgish,,
Malta,Maltese,,,
Netherlands,Dutch,English,,
Poland,Polish,,,
Portugal,Portuguese,,,
Romania,Romanian,,,
Saudi Arabia,Arab,English,,
Slovakia,Slovak,,,
Slovenia,Slovenian,,,
Spain,Spanish,,,
South Africa,English,,,
Sweden,Swedish,,,
Türkiye,Turkish,English,,
United Kingdom,English,,,
United States of America,English,,,
